stream,trade_id,side,entry_time,exit_time,entry_bar_i,exit_bar_i,entry_px,exit_px,pnl,bars_held,kern_dist_sig,state_sig
LOR,71,SHORT,2169,2177,2169,2177,5169.3,5172.35,-3.05,8,1.65538,2
LOR,72,LONG,2177,2188,2177,2188,5172.35,5171.675,-0.675,11,0.91613,2
LOR,73,SHORT,2188,2194,2188,2194,5171.675,5173.825,-2.15,6,0.6231,2
LOR,74,LONG,2194,2202,2194,2202,5173.825,5171.975,-1.85,8,1.58276,2
LOR,75,SHORT,2202,2225,2202,2225,5171.975,5173.075,-1.1,23,1.11492,2
LOR,76,LONG,2225,2237,2225,2237,5173.075,5172.425,-0.65,12,1.41722,3
LOR,77,SHORT,2237,2241,2237,2241,5172.425,5174.775,-2.35,4,0.66071,2
LOR,78,LONG,2241,2267,2241,2267,5174.775,5170.9,-3.875,26,0.86768,3
LOR,79,SHORT,2267,2285,2267,2285,5170.9,5174.4,-3.5,18,1.37623,2
LOR,80,LONG,2285,2310,2285,2310,5174.4,5170.325,-4.075,25,1.91371,2
LOR,81,SHORT,2310,2324,2310,2324,5170.325,5170.45,-0.125,14,1.81617,0
LOR,82,LONG,2324,2353,2324,2353,5170.45,5169.625,-0.825,29,1.69894,2
LOR,83,SHORT,2353,2364,2353,2364,5169.625,5172.5,-2.875,11,0.83259,2
LOR,84,LONG,2364,2373,2364,2373,5172.5,5170.375,-2.125,9,1.93886,1
LOR,85,SHORT,2373,2391,2373,2391,5170.375,5171.325,-0.95,18,1.05749,2
LOR,86,LONG,2391,2467,2391,2467,5171.325,5180.85,9.525,76,1.49079,1
LOR,87,SHORT,2467,2478,2467,2478,5180.85,5184.7,-3.85,11,1.40885,0
LOR,88,LONG,2478,2508,2478,2508,5184.7,5184.625,-0.075,30,1.10671,0
LOR,89,SHORT,2508,2511,2508,2511,5184.625,5185.25,-0.625,3,1.37285,2
LOR,90,LONG,2511,2514,2511,2514,5185.25,5181.775,-3.475,3,0.99594,2
LOR,91,SHORT,2514,2586,2514,2586,5181.775,5176.05,5.725,72,1.07286,2
LOR,92,LONG,2586,2592,2586,2592,5176.05,5174.125,-1.925,6,0.98419,2
LOR,93,SHORT,2592,2630,2592,2630,5174.125,5172.825,1.3,38,1.04121,2
LOR,94,LONG,2630,2668,2630,2668,5172.825,5169.225,-3.6,38,2.74393,1
LOR,95,SHORT,2668,2678,2668,2678,5169.225,5172.125,-2.9,10,2.33937,2
LOR,96,LONG,2678,2689,2678,2689,5172.125,5168.475,-3.65,11,1.86871,2
LOR,97,SHORT,2689,2699,2689,2699,5168.475,5172.15,-3.675,10,2.29366,1
LOR,98,LONG,2699,2735,2699,2735,5172.15,5167,-5.15,36,1.94414,1
LOR,99,SHORT,2735,2765,2735,2765,5167,5168.725,-1.725,30,2.67213,3
LOR,100,LONG,2765,2784,2765,2784,5168.725,5169.8,1.075,19,2.07317,3
LOR,101,SHORT,2784,2794,2784,2794,5169.8,5171.975,-2.175,10,1.20158,2
,,,,,,,,,,,,
,,,,,,,,,-53.85,,,
