time,open,high,low,close,line4,si_dir,si_close,kernel estimate,synthetic renko close,last_state_code,kern_reg,open long,open short,exit_renko,regime flip → long,regime flip → short,kernel regression estimate,distance above kernel,distance below kernel,buy,sell,stopbuy,stopsell,upper envelope: far,upper envelope: average,upper envelope: near,envelope midline,lower envelope: near,lower envelope: average,lower envelope: far,chars,chars.1,chars.2,chars.3,shapes,shapes.1,volume,dt,dt_utc,close_all,state_code,state_label,kern_est,open_long,open_short,renko_syn_close,lor_flip_long,lor_flip_short,lor_buy_sig,lor_sell_sig,v_buy_sig,v_sell_sig,r_down,rs_down,r_up,rs_up,bar_i,lor_event,lor_trade_id,lor_pos,v_event,v_trade_id,v_pos
2026-02-23T11:01:30+08:00,5197.50000,5197.60000,5197.00000,5197.15000,5192.86882,0,87.50000,5195.65321,5196.82500,2,1,0,0,0,0,0,5195.65921,,,,,,,5203.03933,5200.04116,5197.04298,5195.65921,5194.27544,5191.27726,5188.27909,0,0,0,0,,,27,2026-02-23 11:01:30+08:00,2026-02-23 03:01:30+00:00,0,2,FAST,5195.65921,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,294,,,0,,1.00000,1
2026-02-23T11:01:45+08:00,5196.60000,5196.90000,5196.60000,5196.82500,5192.92977,0,87.50000,5195.81416,5196.82500,2,1,0,0,0,0,0,5195.82650,,,,,,,5203.17095,5200.18727,5197.20359,5195.82650,5194.44942,5191.46574,5188.48206,0,0,0,0,,,2,2026-02-23 11:01:45+08:00,2026-02-23 03:01:45+00:00,0,2,FAST,5195.82650,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,295,,,0,,1.00000,1
2026-02-23T11:02:00+08:00,5196.80000,5197.00000,5196.70000,5196.77500,5192.99841,-1,87.45000,5195.95742,5196.82500,2,1,0,0,0,0,0,5195.96246,,,,,,,5203.26709,5200.29958,5197.33208,5195.96246,5194.59284,5191.62533,5188.65783,0,0,0,0,,,8,2026-02-23 11:02:00+08:00,2026-02-23 03:02:00+00:00,0,2,FAST,5195.96246,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,296,,,0,,1.00000,1
2026-02-23T11:02:15+08:00,5196.70000,5196.70000,5196.70000,5196.70000,5193.07386,-1,87.43500,5196.07931,5196.82500,2,1,0,0,0,0,0,5196.08330,,,,,,,5203.34029,5200.39214,5197.44399,5196.08330,5194.72262,5191.77447,5188.82632,0,0,0,0,,,1,2026-02-23 11:02:15+08:00,2026-02-23 03:02:15+00:00,0,2,FAST,5196.08330,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,297,,,0,,1.00000,1
2026-02-23T11:02:30+08:00,5196.80000,5196.80000,5196.80000,5196.80000,5193.15546,0,87.43500,5196.19546,5196.82500,2,1,0,0,0,0,0,5196.19885,,,,,,,5203.40094,5200.47509,5197.54925,5196.19885,5194.84846,5191.92262,5188.99677,0,0,0,0,,,1,2026-02-23 11:02:30+08:00,2026-02-23 03:02:30+00:00,0,2,FAST,5196.19885,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,298,,,0,,1.00000,1
2026-02-23T11:02:45+08:00,5196.70000,5197.10000,5196.70000,5196.95000,5193.24331,0,87.43500,5196.30991,5196.82500,2,1,0,0,0,0,0,5196.31693,,,,,,,5203.46218,5200.55942,5197.65666,5196.31693,5194.97719,5192.07443,5189.17167,0,0,0,0,,,11,2026-02-23 11:02:45+08:00,2026-02-23 03:02:45+00:00,0,2,FAST,5196.31693,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,299,,,0,,1.00000,1
2026-02-23T11:03:00+08:00,5197.30000,5197.30000,5196.30000,5196.55000,5193.33700,0,87.43500,5196.37493,5196.82500,2,1,0,0,0,0,0,5196.35864,,,,,,,5203.45279,5200.57079,5197.68880,5196.35864,5195.02849,5192.14650,5189.26450,0,0,0,0,,,5,2026-02-23 11:03:00+08:00,2026-02-23 03:03:00+00:00,0,2,FAST,5196.35864,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,300,,,0,,1.00000,1
2026-02-23T11:03:15+08:00,5196.10000,5196.10000,5195.40000,5195.72500,5193.43461,-1,87.36000,5196.35256,5195.82500,3,1,0,0,0,0,0,5196.33364,,,,,,,5203.37902,5200.51683,5197.65465,5196.33364,5195.01263,5192.15045,5189.28827,0,0,0,0,,,8,2026-02-23 11:03:15+08:00,2026-02-23 03:03:15+00:00,0,3,SLOW,5196.33364,0,0,5195.82500,0,0,0,0,0,0,1,1,1,1,301,,,0,,1.00000,1
2026-02-23T11:03:30+08:00,5195.50000,5195.50000,5194.30000,5194.70000,5193.53371,-1,87.23000,5196.22602,5194.82500,2,1,0,0,0,0,0,5196.18860,,,,,,,5203.19383,5200.34796,5197.50208,5196.18860,5194.87512,5192.02925,5189.18337,0,0,0,0,,,19,2026-02-23 11:03:30+08:00,2026-02-23 03:03:30+00:00,0,2,FAST,5196.18860,0,0,5194.82500,0,0,0,0,0,0,1,1,1,1,302,,,0,,1.00000,1
2026-02-23T11:03:45+08:00,5194.30000,5194.60000,5193.50000,5194.32500,5193.63349,1,87.25500,5196.05825,5193.82500,2,1,0,0,0,0,0,5196.04619,,,,,,,5203.01867,5200.18610,5197.35353,5196.04619,5194.73885,5191.90628,5189.07370,0,0,0,0,,,21,2026-02-23 11:03:45+08:00,2026-02-23 03:03:45+00:00,0,2,FAST,5196.04619,0,0,5193.82500,0,0,0,0,0,0,1,1,1,1,303,,,0,,1.00000,1
2026-02-23T11:04:00+08:00,5195.00000,5195.00000,5195.00000,5195.00000,5193.73264,-1,87.22500,5195.94842,5194.82500,2,1,0,0,0,0,0,5195.93727,,,,,,,5202.87072,5200.05400,5197.23729,5195.93727,5194.63725,5191.82053,5189.00382,0,0,0,0,,,1,2026-02-23 11:04:00+08:00,2026-02-23 03:04:00+00:00,0,2,FAST,5195.93727,0,0,5194.82500,0,0,0,0,0,0,1,1,1,1,304,,,0,,1.00000,1
2026-02-23T11:04:15+08:00,5195.20000,5195.30000,5194.90000,5195.00000,5193.83090,1,87.23000,5195.83964,5194.82500,2,1,0,0,0,0,0,5195.82044,,,,,,,5202.71370,5199.91331,5197.11293,5195.82044,5194.52796,5191.72757,5188.92719,0,0,0,0,,,3,2026-02-23 11:04:15+08:00,2026-02-23 03:04:15+00:00,0,2,FAST,5195.82044,0,0,5194.82500,0,0,0,0,0,0,1,1,1,1,305,,,0,,1.00000,1
2026-02-23T11:04:30+08:00,5194.40000,5194.40000,5194.00000,5194.10000,5193.92712,-1,87.21000,5195.65302,5194.82500,2,1,0,0,0,0,0,5195.62610,,,,,,,5202.47790,5199.69436,5196.91081,5195.62610,5194.34139,5191.55785,5188.77431,0,0,0,0,,,4,2026-02-23 11:04:30+08:00,2026-02-23 03:04:30+00:00,0,2,FAST,5195.62610,0,0,5194.82500,0,0,0,0,0,0,1,1,1,1,306,,,0,,1.00000,1
